ID,Date,Company,Title,Location,Link
872,2023-06-22,IVY TECH SOLUTIONS INC,API Backend developer,"Chicago, IL",https://www.linkedin.com/jobs/view/api-backend-developer-at-ivy-tech-solutions-inc-3667173915?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=d4tMm7ZR%2FUZVnPKP2fabqg%3D%3D&position=22&pageNum=34&trk=public_jobs_jserp-result_search-card
873,2023-09-30,AvePoint,"Solution Engineer, Public Sector","Chicago, IL",https://www.linkedin.com/jobs/view/solution-engineer-public-sector-at-avepoint-3690764920?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=wqeTQ5PXdRteSU61dGAeDA%3D%3D&position=23&pageNum=34&trk=public_jobs_jserp-result_search-card
874,2023-08-19,Motion Recruitment Partners LLC,Java C++ Python Engineer/ Amazing Culture/Fully Remote,"Chicago, IL",https://www.linkedin.com/jobs/view/java-c%2B%2B-python-engineer-amazing-culture-fully-remote-at-motion-recruitment-partners-llc-3719354711?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=PAwbefcKqysTEfpkAxZOrw%3D%3D&position=24&pageNum=34&trk=public_jobs_jserp-result_search-card
875,2023-08-25,Costco IT,Full Stack Engineer - Digital Site Development,"Chicago, IL",https://www.linkedin.com/jobs/view/full-stack-engineer-digital-site-development-at-costco-it-3699674108?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=VJOF8B8AN5QKzVpj%2B2CRUA%3D%3D&position=25&pageNum=34&trk=public_jobs_jserp-result_search-card
876,2023-08-04,HireGenics,Application Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/application-developer-at-hiregenics-3684664845?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=RC97iO3SsQDLAoVBoTl1wA%3D%3D&position=1&pageNum=35&trk=public_jobs_jserp-result_search-card
877,2023-08-26,The Hagan-Ricci Group (HRG),DevOps Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/devops-engineer-at-the-hagan-ricci-group-hrg-3697779983?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=oMAlH8Vr7lyAjbh91b1ULw%3D%3D&position=2&pageNum=35&trk=public_jobs_jserp-result_search-card
878,2023-10-02,Request Technology,"Associate Principal, ServiceNow Engineer","Chicago, IL",https://www.linkedin.com/jobs/view/associate-principal-servicenow-engineer-at-request-technology-3651703976?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=lZbzbY4cjh6ZjHhwRb%2BtJA%3D%3D&position=3&pageNum=35&trk=public_jobs_jserp-result_search-card
879,2023-08-05,Motion Recruitment,Full Stack Engineer / Ruby on Rails / Contract,"Chicago, IL",https://www.linkedin.com/jobs/view/full-stack-engineer-ruby-on-rails-contract-at-motion-recruitment-3707234755?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=e2jsBjpRMUnotqbdn7zyQg%3D%3D&position=4&pageNum=35&trk=public_jobs_jserp-result_search-card
880,2023-09-29,"Interlake Mecalux, Inc.",WMS Software Project Engineer,"Melrose Park, IL",https://www.linkedin.com/jobs/view/wms-software-project-engineer-at-interlake-mecalux-inc-3728862173?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=fAxcSTkRVLYx155QAx1BAQ%3D%3D&position=5&pageNum=35&trk=public_jobs_jserp-result_search-card
881,2023-09-26,"Request Technology, LLC",Security Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/security-engineer-at-request-technology-llc-3724346681?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=PRbHvMwmcGukJKcfHyVLOA%3D%3D&position=6&pageNum=35&trk=public_jobs_jserp-result_search-card
882,2023-08-04,Canonical,Software Engineer - BootStack DevOps,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-bootstack-devops-at-canonical-3683896632?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=44tfUCX0zWbOUwz98PNnRw%3D%3D&position=7&pageNum=35&trk=public_jobs_jserp-result_search-card
883,2023-10-06,Capgemini,GenAI Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/genai-developer-at-capgemini-3735215542?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=C4VQTm%2FpgYD7znGcE3%2F9yQ%3D%3D&position=8&pageNum=35&trk=public_jobs_jserp-result_search-card
884,2023-09-12,Costco Wholesale,Software Developer - Business Services (Digital Analytics),"Chicago, IL",https://www.linkedin.com/jobs/view/software-developer-business-services-digital-analytics-at-costco-wholesale-3682954238?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=gliXr4jwfACl8VhCRXvkQg%3D%3D&position=9&pageNum=35&trk=public_jobs_jserp-result_search-card
885,2023-05-10,Intellisoft Technologies,iOS Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/ios-developer-at-intellisoft-technologies-3598869161?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=bGwUQdu9oNqsRhGSH95Aug%3D%3D&position=10&pageNum=35&trk=public_jobs_jserp-result_search-card
886,2023-07-18,Steneral Consulting,W2 only - Hybrid Work - Need Automation Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/w2-only-hybrid-work-need-automation-engineer-at-steneral-consulting-3667342709?refId=qb4UORxGrP%2BDJ3cYjmE95g%3D%3D&trackingId=OsMiZqOTQJ%2BU2nG%2FEiyD%2Fw%3D%3D&position=11&pageNum=35&trk=public_jobs_jserp-result_search-card
